Tipo,Start,End,Duración (min),Temperatura Promedio,Temperatura Ambiental Promedio
Nocturnal,2006-05-10 21:01:01,2006-05-11 06:48:01,587.0,35.21559523809523,23.477244897959185
Off,2006-05-11 06:48:01,2006-05-11 06:57:01,9.0,23.68,20.451
On,2006-05-11 06:57:01,2006-05-11 07:36:01,39.0,36.187,20.53175
Off,2006-05-11 07:36:01,2006-05-11 07:44:01,8.0,26.16,20.607777777777777
On,2006-05-11 07:44:01,2006-05-11 08:10:01,26.0,37.813333333333325,20.406296296296293
Off,2006-05-11 08:10:01,2006-05-11 08:19:01,9.0,24.91,20.264000000000003
On,2006-05-11 08:19:01,2006-05-11 08:49:01,30.0,37.41741935483872,20.71806451612904
Off,2006-05-11 08:49:01,2006-05-11 08:58:01,9.0,27.96,20.842
On,2006-05-11 08:58:01,2006-05-11 10:16:01,78.0,38.58924050632911,21.789493670886085
Off,2006-05-11 10:16:01,2006-05-11 10:22:01,6.0,27.6,22.640000000000004
On,2006-05-11 10:22:01,2006-05-11 11:19:01,57.0,38.76724137931034,21.96568965517241
Off,2006-05-11 11:19:01,2006-05-11 11:30:01,11.0,25.09,21.245
On,2006-05-11 11:30:01,2006-05-11 11:56:01,26.0,37.98814814814814,21.0237037037037
Off,2006-05-11 11:56:01,2006-05-11 12:02:01,6.0,25.8,20.83714285714285
On,2006-05-11 12:02:01,2006-05-11 12:23:01,21.0,37.27363636363636,20.825000000000003
Off,2006-05-11 12:23:01,2006-05-11 12:31:01,8.0,27.42,20.891111111111112
On,2006-05-11 12:31:01,2006-05-11 13:05:01,34.0,38.83857142857144,21.04342857142857
Off,2006-05-11 13:05:01,2006-05-11 13:15:01,10.0,26.52,21.224545454545456
On,2006-05-11 13:15:01,2006-05-11 13:20:01,5.0,34.885,21.656666666666663
Off,2006-05-11 13:20:01,2006-05-11 13:25:01,5.0,27.96,21.89
On,2006-05-11 13:25:01,2006-05-11 13:42:01,17.0,38.18111111111111,22.31833333333333
Off,2006-05-11 13:42:01,2006-05-11 13:48:01,6.0,27.96,22.48571428571429
On,2006-05-11 13:48:01,2006-05-11 14:03:01,15.0,37.561875,22.57125
Off,2006-05-11 14:03:01,2006-05-11 14:12:01,9.0,27.42,22.964
On,2006-05-11 14:12:01,2006-05-11 14:30:01,18.0,37.54578947368421,23.13789473684211
Off,2006-05-11 14:30:01,2006-05-11 14:38:01,8.0,27.6,22.92333333333333
On,2006-05-11 14:38:01,2006-05-11 14:56:01,18.0,37.70684210526316,23.120526315789476
Off,2006-05-11 14:56:01,2006-05-11 15:04:01,8.0,26.34,23.62444444444445
On,2006-05-11 15:04:01,2006-05-11 15:27:01,23.0,36.01166666666666,24.45083333333333
Off,2006-05-11 15:27:01,2006-05-11 15:35:01,8.0,29.62,24.991111111111117
On,2006-05-11 15:35:01,2006-05-11 15:56:01,21.0,37.85954545454545,25.800454545454546
Off,2006-05-11 15:56:01,2006-05-11 16:06:01,10.0,29.62,26.405454545454543
On,2006-05-11 16:06:01,2006-05-11 16:20:01,14.0,37.46933333333335,26.712
Off,2006-05-11 16:20:01,2006-05-11 16:31:01,11.0,30.0,27.15
On,2006-05-11 16:31:01,2006-05-11 16:58:01,27.0,36.315,26.95714285714285
Off,2006-05-11 16:58:01,2006-05-11 17:13:01,15.0,29.25,27.40875
On,2006-05-11 17:13:01,2006-05-11 17:23:01,10.0,37.63363636363637,27.33818181818182
Off,2006-05-11 17:23:01,2006-05-11 17:30:01,7.0,30.56,26.97
On,2006-05-11 17:30:01,2006-05-11 17:55:01,25.0,37.85846153846154,26.713846153846152
Off,2006-05-11 17:55:01,2006-05-11 18:03:01,8.0,29.25,26.52
On,2006-05-11 18:03:01,2006-05-11 18:11:01,8.0,35.52555555555556,26.36
Off,2006-05-11 18:11:01,2006-05-11 18:16:01,5.0,31.13,26.34
